mu_0,a,s,mu_next,valuation,payoff
0.025,0.3125,0,0.4191328125,78.29847416935364,78.29066166935364
0.025,0.375,0,0.48628124999999994,83.55779375210716,83.54654375210716
0.025,0.4375,0,0.5525703125,83.40523517966759,83.38992267966759
0.025,0.5,0,0.618,84.54792497818313,84.52792497818314
0.025,0.5625,0,0.6825703125,84.67788444485998,84.65257194485999
0.025,0.625,0,0.74628125,84.67788444485998,84.64663444485998
0.025,0.6875,0,0.8091328124999999,84.67788444485998,84.64007194485998
0.025,0.75,0,0.8711249999999999,84.67788444485998,84.63288444485998
0.025,0.8125,0,0.9322578125,84.67788444485998,84.62507194485998
0.025,0.875,0,0.9925312499999999,84.67788444485998,84.61663444485998
0.025,0.9375,0,1.0,84.67788444485998,84.60757194485998
0.025,1.0,0,1.0,84.67788444485998,84.59788444485999
